"date","site_code","grab_sample","var","var_category","val","ms_status","ms_interp","val_err"
2021-07-09,"ARIK",0,"discharge","discharge",2.793325,0,0,3.9605869598614e-05
2021-07-10,"ARIK",0,"discharge","discharge",2.16350648148148,0,0,2.17595303166294e-05
2021-07-11,"ARIK",0,"discharge","discharge",1.80884259259259,0,0,1.65119530839241e-05
2021-07-12,"ARIK",0,"discharge","discharge",1.54593024691358,0,0,1.99408868375339e-05
2021-07-13,"ARIK",0,"discharge","discharge",1.23628179012346,0,0,2.34022937042599e-05
2021-07-14,"ARIK",0,"discharge","discharge",1.00775594135802,0,0,2.34260849442389e-05
2021-07-15,"ARIK",0,"discharge","discharge",1.02235570987654,0,0,3.83022448043856e-05
2021-07-16,"ARIK",0,"discharge","discharge",0.457765895061728,0,0,2.07764523036537e-05
2021-07-17,"ARIK",0,"discharge","discharge",0.14785200617284,0,0,7.00298536251912e-06
2021-07-18,"ARIK",0,"discharge","discharge",0.980188580246914,0,0,0.000131245451999708
2021-07-19,"ARIK",0,"discharge","discharge",0.729336959876543,0,0,3.63138095659051e-05
2021-07-20,"ARIK",0,"discharge","discharge",0.100030555555556,0,0,1.44479799397293e-05
2021-07-21,"ARIK",0,"discharge","discharge",0,0,0,0
2021-07-22,"ARIK",0,"discharge","discharge",0,0,0,0
2021-07-23,"ARIK",0,"discharge","discharge",0,0,0,0
2021-07-24,"ARIK",0,"discharge","discharge",0,0,0,0
2021-07-25,"ARIK",0,"discharge","discharge",0,0,0,0
2021-07-26,"ARIK",0,"discharge","discharge",0,0,0,0
2021-07-27,"ARIK",0,"discharge","discharge",0,0,0,0
2021-07-28,"ARIK",0,"discharge","discharge",0,0,0,0
2021-07-29,"ARIK",0,"discharge","discharge",0,0,0,0
2021-09-30,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-01,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-02,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-03,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-04,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-05,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-06,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-07,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-08,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-09,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-10,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-11,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-12,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-13,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-14,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-15,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-16,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-17,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-18,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-19,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-20,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-21,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-22,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-23,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-24,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-25,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-26,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-27,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-28,"ARIK",0,"discharge","discharge",0,0,0,0
2021-10-29,"ARIK",0,"discharge","discharge",0,0,0,0
